Meta Data,Time Series (5min)
"Intraday (5min) open, high, low, close prices and volume",
SPY,
2009-01-30 19:55:00,
5min,
Full size,
US/Eastern,
,"{'1. open': '62.4140', '2. high': '62.5310', '3. low': '62.2630', '4. close': '62.3310', '5. volume': '3050'}"
,"{'1. open': '62.4660', '2. high': '62.5310', '3. low': '62.3150', '4. close': '62.3840', '5. volume': '700'}"
,"{'1. open': '62.4290', '2. high': '62.4940', '3. low': '62.2630', '4. close': '62.3310', '5. volume': '899'}"
,"{'1. open': '62.4810', '2. high': '62.5460', '3. low': '62.3300', '4. close': '62.3990', '5. volume': '2000'}"
,"{'1. open': '62.4510', '2. high': '62.5460', '3. low': '62.3000', '4. close': '62.3990', '5. volume': '1600'}"
,"{'1. open': '62.4360', '2. high': '62.5160', '3. low': '62.2850', '4. close': '62.3690', '5. volume': '3700'}"
,"{'1. open': '62.5040', '2. high': '62.5690', '3. low': '62.2550', '4. close': '62.3240', '5. volume': '16742'}"
,"{'1. open': '62.4590', '2. high': '62.5690', '3. low': '62.3080', '4. close': '62.4220', '5. volume': '2748'}"
,"{'1. open': '62.5040', '2. high': '62.5840', '3. low': '62.3530', '4. close': '62.4370', '5. volume': '1000'}"
,"{'1. open': '62.5040', '2. high': '62.5990', '3. low': '62.3380', '4. close': '62.4220', '5. volume': '1475'}"
,"{'1. open': '62.5040', '2. high': '62.5990', '3. low': '62.3530', '4. close': '62.4520', '5. volume': '499'}"
,"{'1. open': '62.4960', '2. high': '62.6370', '3. low': '62.3080', '4. close': '62.4670', '5. volume': '11703'}"
,"{'1. open': '62.4660', '2. high': '62.5690', '3. low': '62.3000', '4. close': '62.4220', '5. volume': '2600'}"
,"{'1. open': '62.4810', '2. high': '62.5460', '3. low': '62.3000', '4. close': '62.3690', '5. volume': '4099'}"
,"{'1. open': '62.4960', '2. high': '62.5690', '3. low': '62.3230', '4. close': '62.4070', '5. volume': '4142'}"
,"{'1. open': '62.5340', '2. high': '62.5990', '3. low': '62.3450', '4. close': '62.4140', '5. volume': '7776'}"
,"{'1. open': '62.5190', '2. high': '62.7120', '3. low': '62.3680', '4. close': '62.4590', '5. volume': '8430'}"
,"{'1. open': '62.4660', '2. high': '62.6670', '3. low': '62.3150', '4. close': '62.4370', '5. volume': '19325'}"
,"{'1. open': '62.4440', '2. high': '62.6740', '3. low': '62.2780', '4. close': '62.3690', '5. volume': '40022'}"
,"{'1. open': '62.3690', '2. high': '62.4560', '3. low': '62.2030', '4. close': '62.3090', '5. volume': '7100'}"
,"{'1. open': '62.3910', '2. high': '62.4560', '3. low': '62.2030', '4. close': '62.2860', '5. volume': '11250'}"
,"{'1. open': '62.3910', '2. high': '62.4560', '3. low': '62.2100', '4. close': '62.2940', '5. volume': '16621'}"
,"{'1. open': '62.3910', '2. high': '62.4940', '3. low': '62.2100', '4. close': '62.3090', '5. volume': '9397'}"
,"{'1. open': '62.4060', '2. high': '62.4940', '3. low': '62.1950', '4. close': '62.3460', '5. volume': '4700'}"
,"{'1. open': '62.4060', '2. high': '62.5090', '3. low': '62.2030', '4. close': '62.3240', '5. volume': '11725'}"
,"{'1. open': '62.4360', '2. high': '62.5010', '3. low': '62.1800', '4. close': '62.3240', '5. volume': '20251'}"
,"{'1. open': '62.4360', '2. high': '62.5160', '3. low': '62.2850', '4. close': '62.3540', '5. volume': '3513'}"
,"{'1. open': '62.4210', '2. high': '62.5310', '3. low': '62.2700', '4. close': '62.3540', '5. volume': '33441'}"
,"{'1. open': '62.3760', '2. high': '62.4940', '3. low': '62.2030', '4. close': '62.3390', '5. volume': '40304'}"
,"{'1. open': '62.3460', '2. high': '62.4410', '3. low': '62.1950', '4. close': '62.2940', '5. volume': '7402'}"
